,ENTSOE,ESE
0,25.0,3.0
1,26.0,4.0
2,54.0,7.0
3,116.0,13.0
4,133.0,15.0
5,149.0,16.0
6,281.0,27.0
7,291.0,28.0
8,335.0,169.0
9,359.0,37.0
10,382.0,39.0
11,456.0,54.0
12,480.0,59.0
13,521.0,63.0
14,543.0,227.0
15,544.0,35.0
16,571.0,91.0
17,674.0,305.0
18,757.0,114.0
19,764.0,129.0
20,839.0,136.0
21,875.0,140.0
22,1520.0,205.0
23,944.0,153.0
24,959.0,154.0
25,1027.0,95.0
26,1047.0,159.0
27,1125.0,173.0
28,1131.0,175.0
29,1182.0,178.0
30,1290.0,184.0
31,1297.0,185.0
32,1305.0,186.0
33,1509.0,202.0
34,1527.0,204.0
35,1544.0,206.0
36,1547.0,170.0
37,1552.0,207.0
38,1558.0,51.0
39,1565.0,208.0
40,1569.0,86.0
41,1570.0,115.0
42,1571.0,120.0
43,1573.0,180.0
44,1588.0,213.0
45,1609.0,219.0
46,1645.0,226.0
47,1659.0,228.0
48,1673.0,233.0
49,1703.0,232.0
50,1705.0,87.0
51,1728.0,234.0
52,1762.0,237.0
53,1805.0,265.0
54,1878.0,272.0
55,1905.0,276.0
56,1908.0,278.0
57,1910.0,279.0
58,1947.0,287.0
59,1976.0,291.0
60,2031.0,294.0
61,2065.0,109.0
62,2116.0,303.0
63,2123.0,304.0
64,2156.0,308.0
65,2198.0,14.0
66,2199.0,320.0
67,2202.0,321.0
68,2203.0,322.0
