,ENTSOE,IWPDCY
0,0.0,1.0
1,53.0,6.0
2,54.0,5.0
3,1219.0,222.0
4,71.0,7.0
5,1329.0,239.0
6,89.0,10.0
7,101.0,13.0
8,146.0,24.0
9,114.0,14.0
10,115.0,18.0
11,155.0,26.0
12,157.0,47.0
13,164.0,28.0
14,165.0,29.0
15,192.0,30.0
16,213.0,38.0
17,224.0,41.0
18,225.0,43.0
19,228.0,44.0
20,236.0,46.0
21,254.0,49.0
22,413.0,52.0
23,435.0,55.0
24,446.0,56.0
25,451.0,57.0
26,456.0,58.0
27,794.0,112.0
28,573.0,66.0
29,601.0,67.0
30,606.0,69.0
31,613.0,73.0
32,628.0,79.0
33,630.0,81.0
34,634.0,83.0
35,666.0,85.0
36,711.0,90.0
37,743.0,98.0
38,752.0,97.0
39,826.0,102.0
40,776.0,103.0
41,783.0,107.0
42,785.0,106.0
43,786.0,108.0
44,805.0,113.0
45,807.0,114.0
46,818.0,116.0
47,822.0,117.0
48,824.0,119.0
49,830.0,121.0
50,831.0,123.0
51,832.0,124.0
52,844.0,127.0
53,864.0,129.0
54,872.0,131.0
55,875.0,136.0
56,876.0,137.0
57,906.0,408.0
58,937.0,146.0
59,942.0,139.0
60,947.0,395.0
61,948.0,145.0
62,1890.0,354.0
63,963.0,148.0
64,983.0,151.0
65,994.0,155.0
66,1009.0,162.0
67,1018.0,318.0
68,1043.0,169.0
69,1046.0,166.0
70,1054.0,171.0
71,1056.0,173.0
72,1894.0,299.0
73,1082.0,187.0
74,1089.0,190.0
75,1097.0,192.0
76,1105.0,193.0
77,1111.0,195.0
78,1120.0,199.0
79,1398.0,255.0
80,1139.0,205.0
81,1140.0,206.0
82,1155.0,212.0
83,1183.0,214.0
84,1206.0,218.0
85,1208.0,220.0
86,1232.0,223.0
87,1233.0,224.0
88,1235.0,226.0
89,1301.0,233.0
90,1315.0,236.0
91,1317.0,237.0
92,1324.0,238.0
93,1333.0,240.0
94,1602.0,277.0
95,1341.0,241.0
96,1358.0,246.0
97,1364.0,248.0
98,1384.0,252.0
99,1389.0,21.0
100,1399.0,256.0
101,1400.0,36.0
102,1403.0,260.0
103,1420.0,251.0
104,1432.0,68.0
105,1437.0,406.0
106,1535.0,264.0
107,1537.0,267.0
108,1585.0,271.0
109,1627.0,280.0
110,1642.0,63.0
111,1693.0,288.0
112,1722.0,289.0
113,1727.0,290.0
114,1742.0,293.0
115,1766.0,297.0
116,1773.0,300.0
117,1776.0,301.0
118,1780.0,307.0
119,1783.0,308.0
120,1785.0,310.0
121,1791.0,305.0
122,1811.0,316.0
123,1836.0,320.0
124,1840.0,321.0
125,1854.0,325.0
126,1857.0,334.0
127,1874.0,344.0
128,1886.0,350.0
129,1889.0,353.0
130,1898.0,287.0
131,1901.0,358.0
132,1943.0,361.0
133,1953.0,362.0
134,1960.0,363.0
135,1964.0,367.0
136,1965.0,370.0
137,1973.0,372.0
138,1974.0,373.0
139,2022.0,377.0
140,2023.0,379.0
141,2025.0,380.0
142,2037.0,384.0
143,2084.0,391.0
144,2089.0,9.0
145,2090.0,392.0
146,2094.0,397.0
147,2117.0,401.0
148,2131.0,405.0
149,2183.0,413.0
150,2192.0,415.0
