,ESE,OPSD
0,3.0,52.0
1,5.0,106.0
2,13.0,320.0
3,14.0,335.0
4,16.0,400.0
5,29.0,2965.0
6,37.0,980.0
7,38.0,1062.0
8,40.0,1125.0
9,47.0,1236.0
10,50.0,1249.0
11,51.0,3596.0
12,54.0,1289.0
13,59.0,1324.0
14,63.0,1384.0
15,86.0,1468.0
16,87.0,1491.0
17,91.0,1534.0
18,96.0,1566.0
19,101.0,1578.0
20,107.0,1637.0
21,113.0,1682.0
22,115.0,1737.0
23,117.0,3639.0
24,124.0,1840.0
25,128.0,1904.0
26,129.0,1905.0
27,130.0,1962.0
28,132.0,2410.0
29,135.0,2054.0
30,136.0,2061.0
31,139.0,2101.0
32,140.0,2102.0
33,141.0,2224.0
34,156.0,2420.0
35,158.0,2093.0
36,160.0,2474.0
37,166.0,3620.0
38,169.0,920.0
39,170.0,3575.0
40,171.0,2553.0
41,173.0,2587.0
42,175.0,2598.0
43,177.0,2716.0
44,178.0,2717.0
45,179.0,2743.0
46,180.0,2764.0
47,184.0,2981.0
48,185.0,2994.0
49,186.0,3027.0
50,193.0,3149.0
51,195.0,3220.0
52,199.0,3294.0
53,201.0,3457.0
54,204.0,3819.0
55,205.0,3533.0
56,206.0,3570.0
57,208.0,3617.0
58,209.0,510.0
59,215.0,2430.0
60,219.0,3778.0
61,224.0,3825.0
62,225.0,3833.0
63,226.0,3841.0
64,227.0,1435.0
65,228.0,3865.0
66,230.0,3882.0
67,231.0,3640.0
68,233.0,3902.0
69,234.0,3997.0
70,265.0,4155.0
71,272.0,4269.0
72,274.0,4284.0
73,276.0,4303.0
74,278.0,4310.0
75,279.0,4315.0
76,289.0,4393.0
77,290.0,4441.0
78,297.0,4587.0
79,303.0,3621.0
80,305.0,1711.0
81,306.0,4736.0
82,308.0,4784.0
83,309.0,4786.0
84,311.0,4802.0
85,314.0,4810.0
86,316.0,4859.0
87,320.0,4929.0
88,321.0,4935.0
89,322.0,4936.0
