,ESE,WEPP
0,3.0,306.0
1,4.0,312.0
2,5.0,511.0
3,7.0,692.0
4,8.0,693.0
5,9.0,23363.0
6,10.0,931.0
7,11.0,1255.0
8,13.0,1657.0
9,14.0,1687.0
10,15.0,1910.0
11,16.0,2119.0
12,19.0,2530.0
13,21.0,3143.0
14,28.0,4871.0
15,29.0,19210.0
16,34.0,5475.0
17,35.0,8098.0
18,37.0,6045.0
19,38.0,6229.0
20,39.0,6248.0
21,40.0,6643.0
22,47.0,7250.0
23,50.0,7342.0
24,51.0,23030.0
25,54.0,11513.0
26,56.0,9706.0
27,59.0,7969.0
28,62.0,12600.0
29,86.0,8544.0
30,87.0,8651.0
31,89.0,8708.0
32,91.0,8832.0
33,95.0,9043.0
34,96.0,9111.0
35,101.0,9154.0
36,107.0,9650.0
37,108.0,9654.0
38,112.0,10026.0
39,113.0,10045.0
40,114.0,11487.0
41,115.0,10347.0
42,117.0,10755.0
43,119.0,10829.0
44,120.0,10877.0
45,125.0,31560.0
46,127.0,11286.0
47,128.0,11541.0
48,129.0,11548.0
49,130.0,11918.0
50,135.0,12859.0
51,139.0,12143.0
52,140.0,12147.0
53,141.0,13655.0
54,144.0,7625.0
55,153.0,14147.0
56,154.0,14402.0
57,155.0,14807.0
58,156.0,15257.0
59,157.0,15259.0
60,159.0,15536.0
61,160.0,15584.0
62,166.0,16050.0
63,169.0,5741.0
64,170.0,22876.0
65,171.0,16421.0
66,172.0,16502.0
67,173.0,14401.0
68,175.0,16841.0
69,179.0,17871.0
70,180.0,18016.0
71,184.0,19292.0
72,185.0,19366.0
73,190.0,19802.0
74,193.0,20226.0
75,194.0,20228.0
76,195.0,20728.0
77,198.0,13590.0
78,199.0,21397.0
79,201.0,22332.0
80,202.0,22455.0
81,204.0,22706.0
82,205.0,27802.0
83,206.0,22768.0
84,207.0,22935.0
85,208.0,23127.0
86,209.0,2842.0
87,215.0,23766.0
88,216.0,23769.0
89,217.0,23785.0
90,219.0,23914.0
91,222.0,24042.0
92,224.0,24207.0
93,226.0,24396.0
94,227.0,8423.0
95,228.0,24524.0
96,230.0,24783.0
97,231.0,24406.0
98,232.0,24986.0
99,233.0,9256.0
100,234.0,25344.0
101,235.0,9144.0
102,237.0,26073.0
103,265.0,26773.0
104,269.0,26918.0
105,270.0,27457.0
106,272.0,3011.0
107,274.0,24883.0
108,276.0,28012.0
109,278.0,28042.0
110,279.0,28069.0
111,280.0,28100.0
112,287.0,28476.0
113,289.0,19991.0
114,290.0,28839.0
115,291.0,28817.0
116,294.0,29326.0
117,295.0,6298.0
118,297.0,29679.0
119,298.0,29847.0
120,299.0,30185.0
121,300.0,30239.0
122,303.0,30442.0
123,304.0,30545.0
124,305.0,10216.0
125,306.0,30606.0
126,307.0,30805.0
127,308.0,31057.0
128,309.0,31080.0
129,311.0,31285.0
130,313.0,25713.0
131,314.0,31377.0
132,316.0,31834.0
133,320.0,5871.0
134,321.0,32185.0
135,322.0,32442.0
